problem_duration_graded,problem_duration_ungraded,messagiesNum,video_duration
0.0,0.0,19,1232.348058
0.0,0.0,26,614.651704
0.0,0.0,26,948.1285449999999
0.0,0.0,16,1006.474439
0.0,0.0,16,1080.3849120000002
0.0,0.0,6,411.697503
0.0,0.0,14,1122.165236
0.0,0.0,7,545.215236
0.0,0.0,9,109.127252
0.0,0.0,14,597.620842
0.0,0.0,3,694.6103069999998
0.0,0.0,29,837.771037
0.0,0.0,25,467.45639100000005
0.0,0.0,11,89.673124
0.0,0.0,12,453.196013
0.0,0.0,19,355.763627
0.0,0.0,14,9.16217
0.0,0.0,14,386.952638
0.0,0.0,23,211.17303000000004
0.0,0.0,25,0.0
0.0,0.0,1,521.5999419999999
0.0,0.0,28,566.324663
0.0,0.0,15,591.669843
0.0,0.0,4,393.110024
0.0,0.0,9,237.545541
0.0,0.0,2,22.556790000000003
0.0,0.0,27,393.610422
0.0,0.0,26,237.44717400000002
0.0,0.0,9,323.372724
0.0,0.0,6,188.29826
0.0,0.0,14,306.626074
0.0,0.0,13,912.167222
0.0,0.0,28,323.998559
0.0,0.0,5,270.247498
0.0,0.0,17,291.632397
0.0,0.0,21,1115.904909
0.0,0.0,15,1106.739231
0.0,0.0,26,979.1268869999999
0.0,0.0,6,1649.7354929999995
0.0,0.0,22,887.6725879999998
0.0,0.0,13,1268.227336
0.0,0.0,0,24.344292000000003
0.0,0.0,4,77.127891
0.0,0.0,29,130.67645900000002
0.0,0.0,8,391.962544
0.0,0.0,10,39.969042
0.0,0.0,13,262.564271
0.0,0.0,29,92.02998000000001
0.0,0.0,19,739.8975619999999
0.0,0.0,29,1060.0593419999998
0.0,0.0,16,514.1664099999998
0.0,0.0,9,7.576467999999999
0.0,0.0,19,114.62925399999996
0.0,0.0,12,108.58423799999998
0.0,0.0,25,394.240751
0.0,0.0,18,1898.450642
0.0,0.0,7,1393.9110030000004
0.0,0.0,24,350.744798
0.0,0.0,6,12.181697
0.0,0.0,16,14.087527
0.0,0.0,18,921.5298449999999
0.0,0.0,11,392.412514
0.0,0.0,6,25.058905
0.0,0.0,29,23.001374
0.0,0.0,4,214.843956
0.0,0.0,7,110.85374600000002
0.0,0.0,10,81.22076700000001
0.0,0.0,20,96.084049
0.0,0.0,16,314.383394
0.0,0.0,27,807.8357440000001
0.0,0.0,27,505.68119299999995
0.0,0.0,18,727.885449
0.0,0.0,21,157.10688499999995
0.0,0.0,26,167.2972
0.0,0.0,9,611.394179
0.0,0.0,18,147.10027300000004
0.0,0.0,9,361.635844
0.0,0.0,16,593.45713
0.0,0.0,17,345.00258199999996
