course_id,problem_type,time,user_id,action
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-16T17:02:00.459625+00:00,492510.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T12:05:29.899541+00:00,486614.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-16T08:50:02.328273+00:00,243054.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-16T08:52:37.148212+00:00,243054.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T15:36:33.471430+00:00,449968.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-18T14:46:44.606223+00:00,350494.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-25T07:49:47.003240+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-16T13:26:22.026047+00:00,412103.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-16T13:41:29.021301+00:00,412103.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T21:10:33.213803+00:00,467046.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T21:10:42.831092+00:00,467046.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-17T00:34:45.726002+00:00,28864.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-16T16:42:32.351752+00:00,455173.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-16T16:54:16.684903+00:00,492510.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-16T17:02:00.478032+00:00,492510.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T20:41:40.338517+00:00,87206.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-18T21:26:38.661553+00:00,28864.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-27T05:52:33.582931+00:00,259731.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-27T05:52:33.587197+00:00,259731.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T08:00:37.571702+00:00,215452.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-27T07:49:42.836783+00:00,394310.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-18T22:31:04.996413+00:00,486614.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T09:42:37.905180+00:00,69983.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-16T22:11:03.765256+00:00,337692.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T11:53:17.392709+00:00,65414.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-27T11:04:24.958120+00:00,486614.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-16T22:31:59.152168+00:00,337692.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T13:49:26.953950+00:00,485479.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-27T12:10:21.059971+00:00,28864.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-25T16:44:24.440031+00:00,325786.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-25T16:44:24.445409+00:00,325786.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-17T16:17:42.184128+00:00,493875.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T11:31:27.076203+00:00,556103.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-25T17:10:09.901556+00:00,336733.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-25T17:12:50.838969+00:00,336733.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-25T17:14:00.221786+00:00,325786.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T12:41:15.045875+00:00,453625.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-28T12:03:18.359050+00:00,22331.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-17T18:55:01.492779+00:00,493875.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T12:52:06.065766+00:00,154690.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T19:03:07.072171+00:00,493875.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T14:11:27.400896+00:00,554852.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-17T19:03:50.672828+00:00,493875.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-28T14:01:39.401064+00:00,22331.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-28T14:11:14.577794+00:00,22331.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-23T11:14:13.520714+00:00,56215.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T10:53:28.116552+00:00,394310.0,graded 73d3eb459e244546a14520445ba63c94
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T09:40:49.440117+00:00,14608.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-28T15:31:13.709172+00:00,467046.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-28T15:31:13.729062+00:00,467046.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T15:16:50.152725+00:00,554852.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T10:23:31.760301+00:00,14608.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T15:18:37.736339+00:00,554852.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T10:46:48.403784+00:00,14608.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-19T15:19:41.792137+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-28T16:05:30.045693+00:00,28864.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-19T15:25:39.602855+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-23T15:02:01.475270+00:00,486614.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T21:09:25.353427+00:00,467046.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-19T15:47:19.114014+00:00,556103.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-19T15:47:22.564585+00:00,556103.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-26T21:10:42.851510+00:00,467046.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T15:02:35.806973+00:00,350494.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T15:22:39.069636+00:00,350494.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T07:15:00.888006+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T09:31:11.209740+00:00,56215.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T09:45:03.552992+00:00,14608.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T17:27:20.229495+00:00,444404.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,graded,2018-03-08T15:28:44.710831+00:00,28864.0,graded 73d3eb459e244546a14520445ba63c94
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T17:31:34.342470+00:00,444404.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T21:46:56.291749+00:00,28864.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:02:49.381376+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:32:44.590666+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T08:01:01.152700+00:00,507252.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:03:55.801130+00:00,554852.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:42:50.116551+00:00,349943.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-03-09T07:56:24.208100+00:00,255151.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T17:30:58.513987+00:00,453625.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-03-09T10:18:28.603100+00:00,595666.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T12:39:05.844304+00:00,453625.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-25T07:49:38.896578+00:00,554852.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-25T07:46:17.289703+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:21:10.060752+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:25:01.832905+00:00,554852.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-03-09T13:34:17.531758+00:00,595666.0,graded 73d3eb459e244546a14520445ba63c94
course-v1:spbu+SOCLAB+spring_2018,graded,2018-03-09T13:34:50.754796+00:00,595666.0,graded 9265610005ce4b5ba3bdf4536d04b596
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T20:39:17.791813+00:00,243054.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
